"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 18 17:28:10 GMT 2023","Wed Jan 18 17:28:10 GMT 2023","1","tests","test_working_thread","TestWorkingThread","","","test_command_thread",""
"broken","Wed Jan 18 17:28:10 GMT 2023","Wed Jan 18 17:28:10 GMT 2023","0","tests","test_ioc_queue","TestIocThread","","","test_thread_without_ioc",""
"broken","Wed Jan 18 17:28:10 GMT 2023","Wed Jan 18 17:28:10 GMT 2023","0","tests","test_ioc_queue","TestIocThread","","","test_thread_ioc_soft_stop",""
"passed","Wed Jan 18 17:28:10 GMT 2023","Wed Jan 18 17:28:10 GMT 2023","1","tests","test_common","TestCommon","","","test_resolve",""
"passed","Wed Jan 18 17:28:10 GMT 2023","Wed Jan 18 17:28:10 GMT 2023","0","tests","test_working_thread","TestWorkingThread","","","test_write_file_to_text",""
"passed","Wed Jan 18 17:28:10 GMT 2023","Wed Jan 18 17:28:10 GMT 2023","0","tests","test_scope","TestScope","","","test_register_exists_in_scope_by_default",""
"broken","Wed Jan 18 17:28:10 GMT 2023","Wed Jan 18 17:28:10 GMT 2023","1","tests","test_ioc_queue","TestIocThread","","","test_thread_ioc_hard_stop",""
"passed","Wed Jan 18 17:28:10 GMT 2023","Wed Jan 18 17:28:10 GMT 2023","0","tests","test_common","TestCommon","","","test_call_method_with_class_in_attrib",""
"broken","Wed Jan 18 17:28:10 GMT 2023","Wed Jan 18 17:28:10 GMT 2023","1","tests","test_ioc_queue","TestIocThread","","","test_thread_ioc_hard_stop_with_command",""
"broken","Wed Jan 18 17:28:10 GMT 2023","Wed Jan 18 17:28:10 GMT 2023","30","tests","test_ioc_queue","TestIocThread","","","test_thread_ioc_soft_stop_with_command",""
"passed","Wed Jan 18 17:28:10 GMT 2023","Wed Jan 18 17:28:10 GMT 2023","0","tests","test_scope","TestScope","","","test_ioc_register",""
"passed","Wed Jan 18 17:28:10 GMT 2023","Wed Jan 18 17:28:10 GMT 2023","1","tests","test_working_thread","TestWorkingThread","","","test_parallel_write_file_to_text",""
