"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 27 13:09:08 GMT 2022","Tue Dec 27 13:09:08 GMT 2022","0","tests","test_common","TestCommon","","","test_call_method_with_class_in_attrib",""
"passed","Tue Dec 27 13:09:29 GMT 2022","Tue Dec 27 13:09:32 GMT 2022","3006","tests","test_ioc_queue","TestIocThread","","","test_thread_ioc_hard_stop_with_command",""
"passed","Tue Dec 27 13:09:11 GMT 2022","Tue Dec 27 13:09:13 GMT 2022","2004","tests","test_ioc_queue","TestIocThread","","","test_thread_ioc_soft_stop",""
"passed","Tue Dec 27 13:09:09 GMT 2022","Tue Dec 27 13:09:11 GMT 2022","2004","tests","test_ioc_queue","TestIocThread","","","test_thread_ioc_hard_stop",""
"passed","Tue Dec 27 13:09:32 GMT 2022","Tue Dec 27 13:09:32 GMT 2022","0","tests","test_scope","TestScope","","","test_ioc_register",""
"passed","Tue Dec 27 13:09:32 GMT 2022","Tue Dec 27 13:09:32 GMT 2022","1","tests","test_scope","TestScope","","","test_register_exists_in_scope_by_default",""
"passed","Tue Dec 27 13:09:32 GMT 2022","Tue Dec 27 13:09:32 GMT 2022","0","tests","test_working_thread","TestWorkingThread","","","test_parallel_write_file_to_text",""
"passed","Tue Dec 27 13:09:08 GMT 2022","Tue Dec 27 13:09:08 GMT 2022","0","tests","test_common","TestCommon","","","test_resolve",""
"passed","Tue Dec 27 13:09:08 GMT 2022","Tue Dec 27 13:09:09 GMT 2022","1002","tests","test_ioc_queue","TestIocThread","","","test_thread_without_ioc",""
"passed","Tue Dec 27 13:09:32 GMT 2022","Tue Dec 27 13:09:32 GMT 2022","1","tests","test_working_thread","TestWorkingThread","","","test_write_file_to_text",""
"passed","Tue Dec 27 13:09:13 GMT 2022","Tue Dec 27 13:09:29 GMT 2022","16022","tests","test_ioc_queue","TestIocThread","","","test_thread_ioc_soft_stop_with_command",""
